ingles,traducao_pt
form up behind,Forma atrás
take position behind,Assume posição atrás
line up behind,Alinha atrás
that's the end of the session,Esse é o fim da sessão
"get ready, mate, it's hammer time","Se prepara, parceiro, agora é hora do martelo"
get ready,Se prepara
"be ready, watch for the lights","Fica pronto, olho nas luzes"
"be ready, we're about to go green","Fica esperto, tá quase verde"
"get ready, mate","Prepara, parceiro"
be ready,Fica pronto
"okay, let's try to avoid the turn 1 clusterfuck","Tá bom, vamos tentar evitar o caos da curva um"
"okay, mate, get ready","Beleza, parceiro, se prepara"
"okay, mate, get ready, relax","Fica pronto, parceiro, e relaxa"
"heads up, get ready","Atenção aí, se prepara"
"here we go, don't fuck this up","Lá vamos nós, não estraga agora"
here we go,Lá vamos nós
"get ready, keep your nose clean","Se prepara, vai limpo, nada de enrosco"
"nice and neat, stay out of trouble","Capricha, sem se meter em confusão"
"okay, get ready","Ok, prepara"
"stay calm, focus",Calma e foco
"here we go, get ready","É agora, se prepara"
"here we go, be ready","É agora, pronto aí"
"heads up, we're going green","Atenção, vamos pro verde"
"concentrate, be ready","Concentra, fica pronto"
"get ready, time to focus","Se prepara, hora de focar"
watch for the lights,Olho nas luzes
"let's get this right, no fuck ups","Vamos fazer certo, nada de cagada"
"perfect drive, absolutely flawless","Volta perfeita, absolutamente impecável"
"well done, mate, you made 'em all look silly today","Mandou muito bem, parceiro, hoje fez todo mundo parecer amador"
"you won, fantastic drive","Você venceu, pilotagem fantástica!"
"that's a win, great job, well done","Vitória! Grande trabalho, parabéns!"
"well done, mate, that was absolutely perfect, great win","Muito bem, parceiro, foi absolutamente perfeito, Bela vitória!"
"fucking awesome result, mate, well done","Resultado animal, parceiro! Mandou demais!"
"great win, you deserve that today","Grande vitória, mereceu demais hoje"
"shit, we won, wow","Caramba, vencemos uau!"
the leaders are under green,Os líderes tão sob bandeira verde
the leader's crossed the line,O líder cruzou a linha
the race leader's crossed the line,O líder da prova passou pela linha
"laps, let's make them count","Voltas finais, vamos fazer valer"
"laps, make 'em count","Voltas, manda ver"
"laps, let's make 'em count","Últimas voltas, capricha"
"acknowledged, no formation lap","Entendido, sem volta de formação"
"understood, no rolling start","Confirmado, sem rolling start"
"well done, mate, good finish","Muito bem, parceiro, Chegada sólida!"
"okay, that's the finish, well done, mate","Fechou, bom trabalho, parceiro"
"okay, it's over, good drive","Acabou, boa tocada"
"there's the finish, well done","Bandeirada aí, bom trabalho"
"okay that's the end, good finish, mate, well done","É isso, fim de prova, Chegada limpa, mandou bem"
"okay, it's over, well done, mate, good finish","Acabou, boa pilotagem, parceiro"
"there's the finish, good drive","Bandeirada, Dirigiu bem"
"and there's the finish, good result, mate, well done","E tá aí a chegada, resultado sólido, parceiro, Parabéns"
you're in,Você tá dentro
"okay, you're in","Certo, tá dentro"
we're starting in,Vamos largar da
"okay, we're starting in","Beleza, vamos largar da"
"we're on the podium, good drive","Tamo no pódio, bela prova!"
"great drive, that's a podium","Grande pilotagem, garantimos pódio"
"well done, decent drive","Muito bem, tocada decente"
"podium finish, nice one","Chegamos no pódio, mandou bem"
"one more lap, you're P1","Mais uma volta, você é Pê um"
"one more lap to go, stay focused","Falta uma volta, foca!"
"one more lap, keep it together, we'll win this","Última volta, segura que a vitória vem!"
"last lap, keep your shit together, you're not home yet","Última volta, segura a onda, ainda não acabou"
"one more lap for the win, come on","Mais uma pra vencer, vamos!"
"there's the checkered flag, shit day, mate, let's just pack up and go home","Bandeirada dia horrível, parceiro, vamos só guardar tudo e ir embora"
"shit result, mate, hard luck","Resultado ruim hoje, foi azar"
"okay, that's the end, let's get out of here, try and forget this one, eh","Tá, acabou, vamos sair daqui e tentar esquecer"
"there's the checkered flag, that's disappointing",Bandeirada que decepção
that was a fucking waste of time,Isso foi uma baita perda de tempo
"okay, it's over, bloody awful result, mate","Acabou, resultado péssimo, parceiro"
floor it,Pisa tudo!
"go, go, go","Vai, vai, vai!"
"green, green, green","Verde, verde, verde!"
"floor it, green, green, green","Pisa fundo, verde, verde, verde!"
"green, let's go, let's go","Verde, vamos, vamos!"
"go, nail it","Vai, pisa tudo!"
let's go,Vambora
maintain this position until the start line,Mantém essa posição até a linha de largada
hold this position until the start line,Segura essa posição até a linha
stay in this position until the start line,Permanece onde tá até cruzar a linha
the leader's gone,O líder já foi
the leader's floored it,O líder afundou o pé
the leader's started,O líder largou
the leader has gone,O líder já partiu
the leader's accelerating,O líder tá acelerando
until the start line,Até cruzar a linha de largada
until we cross the line,Até a gente passar pela linha
give that position back,Devolve essa posição
we need to give that position back,Precisamos devolver a posição
"two to go, come on, you're the man","Duas pra acabar, vamos, você tá voando!"
"two laps left, you're P1","Faltam duas voltas, você é Pê um"
"two to go, you're in the lead","Duas voltas, você tá na liderança"
"two to go, stay focused, we can win this","Duas pra acabar, mantém o foco, dá pra vencer!"
you need to hold your position,Precisa segurar essa posição
hold your position,Segura tua posição
you'll need to rejoin at the back of the field,Vai ter que voltar no fim do pelotão
you'll need to wait for the field and rejoin at the back,Espera o pelotão e entra de novo lá atrás
you'll need to rejoin at the back,Precisa voltar no fim
"last lap, looking good for a podium","Última volta, pinta de pódio, vamos!"
"last lap, bring it on home","Última volta, traz pra casa!"
"one more to go, keep it together, we'll be on the podium","Mais uma, segura e vamos pro pódio!"
hold your position behind,Segura posição atrás
"that's the end of the session, you're on pole, well done","Fim da sessão, pole pra você, muito bem!"
"that's the end of the session, pole position, well done, mate","Fim da sessão, pole position, parabéns parceiro!"
"that's the end of the session, pole position, nice one","Fim da sessão, pole, mandou bem"
"okay, we're done",Fechamos
"that's the end of the race, we'll get 'em next time","Fim de corrida, próxima a gente vem mais forte"
"that's the end of the race, bad luck, mate","Fim da corrida, foi azar, parceiro"
"that's it, we're done","É isso, acabou"
"that's the end of the race, never mind","Fim da corrida, deixa pra lá"
there's the checkered flag,Bandeirada
"okay, it's over","Ok, acabou"
"there we go, it's over, bring it back round","Tá aí, fim de prova, traz o carro de volta"
"minutes, you'll need to get on with this","Faltam poucos minutos, precisa acelerar isso"
"minutes, you really need to get on with it","Minutos restantes, vamos agilizar"
"minutes, you've not got much time to sort this out","Minutos, não tem muito tempo pra resolver"
"white flag, last lap","Bandeira branca, última volta!"
"white flag, one more to go","Bandeira branca, mais uma"
"white flag, one more lap","Bandeira branca, última agora"
two laps left,Duas voltas restantes
two to go,Faltam duas
two laps remaining,Duas voltas pra acabar
one more lap to go,Falta uma volta
last lap,Última volta
one more to go,Mais uma e fecha
pit strategy 3 selected,Estratégia de pit três selecionada
"yes, I can hear you","Sim, tô te ouvindo"
I can hear you,Tô ouvindo sim
"yeah, I can hear you","Beleza, tô te ouvindo"
acknowledged,Confirmado
understood,Entendido
okay,Ok
yes,Sim
yea,É
"okay, no more cut-track warnings","Fechado, sem mais avisos de corte de pista"
"understood, no cut-track warnings","Entendido, sem alertas de corte de pista"
"okay, we'll give yellow reports","Ok, vamos informar bandeiras amarelas"
"okay, we'll give you incident reports",Vamos te avisar sobre os incidentes
"acknowledged, we'll report on yellows","Recebido, avisaremos sobre amarelas"
no,Não
we don't have that data,Não temos esse dado
we don't have the data,Não temos essas informações
we haven't got that data,A gente não tem esse dado
we don't have enough data for that,Não temos dados suficientes pra isso
"okay, we'll keep you posted","Ok, vamos te mantendo informado"
"understood, I'll keep you informed","Entendido, vou te manter por dentro"
"acknowledged, I'll keep you up to date","Recebido, te atualizo sempre"
"understood, I'll keep quiet in the corners","Entendido, fico quieto nas curvas"
"okay, call only on the straights","Ok, só chamo nas retas"
"okay, I'll try to minimize the calls in the braking zones","Beleza, vou minimizar os avisos nas frenagens"
"acknowledged, no more calls in the corners","Confirmado, sem chamadas nas curvas"
"copy that, no more time deltas","Copiado, sem mais deltas de tempo"
"acknowledged, no more deltas","Entendido, sem mais deltas"
"okay, no more deltas","Ok, sem mais deltas"
